"","short","long","gold","silver","bronze","total","long2","yr"
"1","NOR","Norway","14","14","11","39","Norway","pyeongchang-2018"
"2","GER","Germany","14","10","7","31","Germany","pyeongchang-2018"
"3","CAN","Canada","11","8","10","29","Canada","pyeongchang-2018"
"4","USA","United States of America","9","8","6","23","United States of America","pyeongchang-2018"
"5","NED","Netherlands","8","6","6","20","Netherlands","pyeongchang-2018"
"6","SWE","Sweden","7","6","1","14","Sweden","pyeongchang-2018"
"7","KOR","Republic of Korea","5","8","4","17","Republic of Korea","pyeongchang-2018"
"8","SUI","Switzerland","5","6","4","15","Switzerland","pyeongchang-2018"
"9","FRA","France","5","4","6","15","France","pyeongchang-2018"
"10","AUT","Austria","5","3","6","14","Austria","pyeongchang-2018"
"11","JPN","Japan","4","5","4","13","Japan","pyeongchang-2018"
"12","ITA","Italy","3","2","5","10","Italy","pyeongchang-2018"
"13","OAR","Olympic Athletes from Russia","2","6","9","17","Olympic Athletes from Russia","pyeongchang-2018"
"14","CZE","Czech Republic","2","2","3","7","Czech Republic","pyeongchang-2018"
"15","BLR","Belarus","2","1","-","3","Belarus","pyeongchang-2018"
"16","CHN","People's Republic of China","1","6","2","9","People's Republic of China","pyeongchang-2018"
"17","SVK","Slovakia","1","2","-","3","Slovakia","pyeongchang-2018"
"18","FIN","Finland","1","1","4","6","Finland","pyeongchang-2018"
"19","GBR","Great Britain","1","-","4","5","Great Britain","pyeongchang-2018"
"20","POL","Poland","1","-","1","2","Poland","pyeongchang-2018"
"21","UKR","Ukraine","1","-","-","1","Ukraine","pyeongchang-2018"
"22","HUN","Hungary","1","-","-","1","Hungary","pyeongchang-2018"
"23","AUS","Australia","-","2","1","3","Australia","pyeongchang-2018"
"24","SLO","Slovenia","-","1","1","2","Slovenia","pyeongchang-2018"
"25","BEL","Belgium","-","1","-","1","Belgium","pyeongchang-2018"
"26","NZL","New Zealand","-","-","2","2","New Zealand","pyeongchang-2018"
"27","ESP","Spain","-","-","2","2","Spain","pyeongchang-2018"
"28","KAZ","Kazakhstan","-","-","1","1","Kazakhstan","pyeongchang-2018"
"29","LIE","Liechtenstein","-","-","1","1","Liechtenstein","pyeongchang-2018"
"30","LAT","Latvia","-","-","1","1","Latvia","pyeongchang-2018"
"31","USA","United States of America","46","37","38","121","United States of America","rio-2016"
"32","GBR","Great Britain","27","23","17","67","Great Britain","rio-2016"
"33","CHN","People's Republic of China","26","18","26","70","People's Republic of China","rio-2016"
"34","RUS","Russian Federation","19","17","20","56","Russian Federation","rio-2016"
"35","GER","Germany","17","10","15","42","Germany","rio-2016"
"36","JPN","Japan","12","8","21","41","Japan","rio-2016"
"37","FRA","France","10","18","14","42","France","rio-2016"
"38","KOR","Republic of Korea","9","3","9","21","Republic of Korea","rio-2016"
"39","ITA","Italy","8","12","8","28","Italy","rio-2016"
"40","AUS","Australia","8","11","10","29","Australia","rio-2016"
"41","NED","Netherlands","8","7","4","19","Netherlands","rio-2016"
"42","HUN","Hungary","8","3","4","15","Hungary","rio-2016"
"43","BRA","Brazil","7","6","6","19","Brazil","rio-2016"
"44","ESP","Spain","7","4","6","17","Spain","rio-2016"
"45","KEN","Kenya","6","6","1","13","Kenya","rio-2016"
"46","JAM","Jamaica","6","3","2","11","Jamaica","rio-2016"
"47","CRO","Croatia","5","3","2","10","Croatia","rio-2016"
"48","CUB","Cuba","5","2","4","11","Cuba","rio-2016"
"49","NZL","New Zealand","4","9","5","18","New Zealand","rio-2016"
"50","CAN","Canada","4","3","15","22","Canada","rio-2016"
"51","UZB","Uzbekistan","4","2","7","13","Uzbekistan","rio-2016"
"52","KAZ","Kazakhstan","3","5","10","18","Kazakhstan","rio-2016"
"53","COL","Colombia","3","2","3","8","Colombia","rio-2016"
"54","SUI","Switzerland","3","2","2","7","Switzerland","rio-2016"
"55","IRI","Islamic Republic of Iran","3","1","4","8","Islamic Republic of Iran","rio-2016"
"56","GRE","Greece","3","1","2","6","Greece","rio-2016"
"57","ARG","Argentina","3","1","-","4","Argentina","rio-2016"
"58","DEN","Denmark","2","6","7","15","Denmark","rio-2016"
"59","SWE","Sweden","2","6","3","11","Sweden","rio-2016"
"60","RSA","South Africa","2","6","2","10","South Africa","rio-2016"
"61","UKR","Ukraine","2","5","4","11","Ukraine","rio-2016"
"62","SRB","Serbia","2","4","2","8","Serbia","rio-2016"
"63","POL","Poland","2","3","6","11","Poland","rio-2016"
"64","PRK","Democratic People's Republic of Korea","2","3","2","7","Democratic People's Republic of Korea","rio-2016"
"65","THA","Thailand","2","2","2","6","Thailand","rio-2016"
"66","BEL","Belgium","2","2","2","6","Belgium","rio-2016"
"67","SVK","Slovakia","2","2","-","4","Slovakia","rio-2016"
"68","GEO","Georgia","2","1","4","7","Georgia","rio-2016"
"69","AZE","Azerbaijan","1","7","10","18","Azerbaijan","rio-2016"
"70","BLR","Belarus","1","4","4","9","Belarus","rio-2016"
"71","TUR","Turkey","1","3","4","8","Turkey","rio-2016"
"72","ARM","Armenia","1","3","-","4","Armenia","rio-2016"
"73","CZE","Czech Republic","1","2","7","10","Czech Republic","rio-2016"
"74","ETH","Ethiopia","1","2","5","8","Ethiopia","rio-2016"
"75","SLO","Slovenia","1","2","1","4","Slovenia","rio-2016"
"76","INA","Indonesia","1","2","-","3","Indonesia","rio-2016"
"77","ROU","Romania","1","1","2","4","Romania","rio-2016"
"78","BRN","Bahrain","1","1","-","2","Bahrain","rio-2016"
"79","VIE","Vietnam","1","1","-","2","Vietnam","rio-2016"
"80","TPE","Chinese Taipei","1","-","2","3","Chinese Taipei","rio-2016"
"81","CIV","Ivory Coast","1","-","1","2","Ivory Coast","rio-2016"
"82","BAH","Bahamas","1","-","1","2","Bahamas","rio-2016"
"83","IOA","Independent Olympic Athletes","1","-","1","2","Independent Olympic Athletes","rio-2016"
"84","KOS","Kosovo","1","-","-","1","Kosovo","rio-2016"
"85","PUR","Puerto Rico","1","-","-","1","Puerto Rico","rio-2016"
"86","TJK","Tajikistan","1","-","-","1","Tajikistan","rio-2016"
"87","FIJ","Fiji","1","-","-","1","Fiji","rio-2016"
"88","SGP","Singapore","1","-","-","1","Singapore","rio-2016"
"89","JOR","Jordan","1","-","-","1","Jordan","rio-2016"
