Abreviatura,Pais,Oro,Plata,Bronce,Total,Año,Ciudad
USA,United States of America,46,37,38,121,2016,rio
GBR,Great Britain,27,23,17,67,2016,rio
CHN,People's Republic of China,26,18,26,70,2016,rio
RUS,Russian Federation,19,17,20,56,2016,rio
GER,Germany,17,10,15,42,2016,rio
JPN,Japan,12,8,21,41,2016,rio
KOR,Republic of Korea,9,3,9,21,2016,rio
ITA,Italy,8,12,8,28,2016,rio
AUS,Australia,8,11,10,29,2016,rio
BRA,Brazil,7,6,6,19,2016,rio
ESP,Spain,7,4,6,17,2016,rio
CAN,Canada,4,3,15,22,2016,rio
GRE,Greece,3,1,2,6,2016,rio
MEX,Mexico,0,3,2,5,2016,rio
USA,United States of America,46,37,38,121,2016,rio
GBR,Great Britain,27,23,17,67,2016,rio
CHN,People's Republic of China,26,18,26,70,2016,rio
RUS,Russian Federation,19,17,20,56,2016,rio
GER,Germany,17,10,15,42,2016,rio
JPN,Japan,12,8,21,41,2016,rio
KOR,Republic of Korea,9,3,9,21,2016,rio
ITA,Italy,8,12,8,28,2016,rio
AUS,Australia,8,11,10,29,2016,rio
BRA,Brazil,7,6,6,19,2016,rio
ESP,Spain,7,4,6,17,2016,rio
CAN,Canada,4,3,15,22,2016,rio
GRE,Greece,3,1,2,6,2016,rio
MEX,Mexico,0,3,2,5,2016,rio
USA,United States of America,46,28,30,104,2012,london
CHN,People's Republic of China,38,31,22,91,2012,london
GBR,Great Britain,29,17,19,65,2012,london
RUS,Russian Federation,20,19,28,67,2012,london
KOR,Republic of Korea,13,9,8,30,2012,london
GER,Germany,11,20,13,44,2012,london
AUS,Australia,8,15,12,35,2012,london
ITA,Italy,8,9,11,28,2012,london
JPN,Japan,7,14,17,38,2012,london
ESP,Spain,4,10,4,18,2012,london
BRA,Brazil,3,5,9,17,2012,london
CAN,Canada,2,5,11,18,2012,london
MEX,Mexico,1,3,4,8,2012,london
GRE,Greece,0,0,2,2,2012,london
USA,United States of America,46,28,30,104,2012,london
CHN,People's Republic of China,38,31,22,91,2012,london
GBR,Great Britain,29,17,19,65,2012,london
RUS,Russian Federation,20,19,28,67,2012,london
KOR,Republic of Korea,13,9,8,30,2012,london
GER,Germany,11,20,13,44,2012,london
AUS,Australia,8,15,12,35,2012,london
ITA,Italy,8,9,11,28,2012,london
JPN,Japan,7,14,17,38,2012,london
ESP,Spain,4,10,4,18,2012,london
BRA,Brazil,3,5,9,17,2012,london
CAN,Canada,2,5,11,18,2012,london
MEX,Mexico,1,3,4,8,2012,london
GRE,Greece,0,0,2,2,2012,london
CHN,People's Republic of China,48,22,30,100,2008,beijing
USA,United States of America,36,39,37,112,2008,beijing
RUS,Russian Federation,24,13,23,60,2008,beijing
GBR,Great Britain,19,13,19,51,2008,beijing
GER,Germany,16,11,14,41,2008,beijing
AUS,Australia,14,15,17,46,2008,beijing
KOR,Republic of Korea,13,11,8,32,2008,beijing
JPN,Japan,9,8,8,25,2008,beijing
ITA,Italy,8,9,10,27,2008,beijing
ESP,Spain,5,11,3,19,2008,beijing
CAN,Canada,3,9,8,20,2008,beijing
BRA,Brazil,3,4,10,17,2008,beijing
MEX,Mexico,2,0,2,4,2008,beijing
GRE,Greece,0,2,1,3,2008,beijing
CHN,People's Republic of China,48,22,30,100,2008,beijing
USA,United States of America,36,39,37,112,2008,beijing
RUS,Russian Federation,24,13,23,60,2008,beijing
GBR,Great Britain,19,13,19,51,2008,beijing
GER,Germany,16,11,14,41,2008,beijing
AUS,Australia,14,15,17,46,2008,beijing
KOR,Republic of Korea,13,11,8,32,2008,beijing
JPN,Japan,9,8,8,25,2008,beijing
ITA,Italy,8,9,10,27,2008,beijing
ESP,Spain,5,11,3,19,2008,beijing
CAN,Canada,3,9,8,20,2008,beijing
BRA,Brazil,3,4,10,17,2008,beijing
MEX,Mexico,2,0,2,4,2008,beijing
GRE,Greece,0,2,1,3,2008,beijing
USA,United States of America,36,39,26,101,2004,athens
CHN,People's Republic of China,32,17,14,63,2004,athens
RUS,Russian Federation,28,26,36,90,2004,athens
AUS,Australia,17,16,17,50,2004,athens
JPN,Japan,16,9,12,37,2004,athens
GER,Germany,13,16,20,49,2004,athens
ITA,Italy,10,11,11,32,2004,athens
KOR,Republic of Korea,9,12,9,30,2004,athens
GBR,Great Britain,9,9,12,30,2004,athens
GRE,Greece,6,6,4,16,2004,athens
BRA,Brazil,5,2,3,10,2004,athens
ESP,Spain,3,11,6,20,2004,athens
CAN,Canada,3,6,3,12,2004,athens
MEX,Mexico,0,3,1,4,2004,athens
USA,United States of America,36,39,26,101,2004,athens
CHN,People's Republic of China,32,17,14,63,2004,athens
RUS,Russian Federation,28,26,36,90,2004,athens
AUS,Australia,17,16,17,50,2004,athens
JPN,Japan,16,9,12,37,2004,athens
GER,Germany,13,16,20,49,2004,athens
ITA,Italy,10,11,11,32,2004,athens
KOR,Republic of Korea,9,12,9,30,2004,athens
GBR,Great Britain,9,9,12,30,2004,athens
GRE,Greece,6,6,4,16,2004,athens
BRA,Brazil,5,2,3,10,2004,athens
ESP,Spain,3,11,6,20,2004,athens
CAN,Canada,3,6,3,12,2004,athens
MEX,Mexico,0,3,1,4,2004,athens
USA,United States of America,37,24,32,93,2000,sydney
RUS,Russian Federation,32,28,29,89,2000,sydney
CHN,People's Republic of China,28,16,14,58,2000,sydney
AUS,Australia,16,25,17,58,2000,sydney
GER,Germany,13,17,26,56,2000,sydney
ITA,Italy,13,8,13,34,2000,sydney
GBR,Great Britain,11,10,7,28,2000,sydney
KOR,Republic of Korea,8,10,10,28,2000,sydney
JPN,Japan,5,8,5,18,2000,sydney
GRE,Greece,4,6,3,13,2000,sydney
CAN,Canada,3,3,8,14,2000,sydney
ESP,Spain,3,3,5,11,2000,sydney
MEX,Mexico,1,2,3,6,2000,sydney
BRA,Brazil,0,6,6,12,2000,sydney
USA,United States of America,37,24,32,93,2000,sydney
RUS,Russian Federation,32,28,29,89,2000,sydney
CHN,People's Republic of China,28,16,14,58,2000,sydney
AUS,Australia,16,25,17,58,2000,sydney
GER,Germany,13,17,26,56,2000,sydney
ITA,Italy,13,8,13,34,2000,sydney
GBR,Great Britain,11,10,7,28,2000,sydney
KOR,Republic of Korea,8,10,10,28,2000,sydney
JPN,Japan,5,8,5,18,2000,sydney
GRE,Greece,4,6,3,13,2000,sydney
CAN,Canada,3,3,8,14,2000,sydney
ESP,Spain,3,3,5,11,2000,sydney
MEX,Mexico,1,2,3,6,2000,sydney
BRA,Brazil,0,6,6,12,2000,sydney
USA,United States of America,44,32,25,101,1996,atlanta
RUS,Russian Federation,26,21,16,63,1996,atlanta
GER,Germany,20,18,27,65,1996,atlanta
CHN,People's Republic of China,16,22,12,50,1996,atlanta
ITA,Italy,13,10,12,35,1996,atlanta
AUS,Australia,9,9,23,41,1996,atlanta
KOR,Republic of Korea,7,15,5,27,1996,atlanta
ESP,Spain,5,6,6,17,1996,atlanta
GRE,Greece,4,4,0,8,1996,atlanta
CAN,Canada,3,11,8,22,1996,atlanta
JPN,Japan,3,6,5,14,1996,atlanta
BRA,Brazil,3,3,9,15,1996,atlanta
GBR,Great Britain,1,8,6,15,1996,atlanta
MEX,Mexico,0,0,1,1,1996,atlanta
USA,United States of America,44,32,25,101,1996,atlanta
RUS,Russian Federation,26,21,16,63,1996,atlanta
GER,Germany,20,18,27,65,1996,atlanta
CHN,People's Republic of China,16,22,12,50,1996,atlanta
ITA,Italy,13,10,12,35,1996,atlanta
AUS,Australia,9,9,23,41,1996,atlanta
KOR,Republic of Korea,7,15,5,27,1996,atlanta
ESP,Spain,5,6,6,17,1996,atlanta
GRE,Greece,4,4,0,8,1996,atlanta
CAN,Canada,3,11,8,22,1996,atlanta
JPN,Japan,3,6,5,14,1996,atlanta
BRA,Brazil,3,3,9,15,1996,atlanta
GBR,Great Britain,1,8,6,15,1996,atlanta
MEX,Mexico,0,0,1,1,1996,atlanta
USA,United States of America,37,34,37,108,1992,barcelona
GER,Germany,33,21,28,82,1992,barcelona
CHN,People's Republic of China,16,22,16,54,1992,barcelona
ESP,Spain,13,7,2,22,1992,barcelona
KOR,Republic of Korea,12,5,12,29,1992,barcelona
AUS,Australia,7,9,11,27,1992,barcelona
CAN,Canada,7,4,7,18,1992,barcelona
ITA,Italy,6,5,8,19,1992,barcelona
GBR,Great Britain,5,3,12,20,1992,barcelona
JPN,Japan,3,8,11,22,1992,barcelona
BRA,Brazil,2,1,0,3,1992,barcelona
GRE,Greece,2,0,0,2,1992,barcelona
MEX,Mexico,0,1,0,1,1992,barcelona
USA,United States of America,37,34,37,108,1992,barcelona
GER,Germany,33,21,28,82,1992,barcelona
CHN,People's Republic of China,16,22,16,54,1992,barcelona
ESP,Spain,13,7,2,22,1992,barcelona
KOR,Republic of Korea,12,5,12,29,1992,barcelona
AUS,Australia,7,9,11,27,1992,barcelona
CAN,Canada,7,4,7,18,1992,barcelona
ITA,Italy,6,5,8,19,1992,barcelona
GBR,Great Britain,5,3,12,20,1992,barcelona
JPN,Japan,3,8,11,22,1992,barcelona
